Name,Link,Rating,DP,Greedy,Binary Search,Verdict
B - Make Equal,https://codeforces.com/contest/1931/problem/B,800,0,1,0,Accepted
B - Make Equal,https://codeforces.com/contest/1931/problem/B,800,0,1,0,Accepted
B - Make Equal,https://codeforces.com/contest/1931/problem/B,800,0,1,0,Wrong answer on test2
A - Too Min Too Max,https://codeforces.com/contest/1934/problem/A,800,0,1,0,Accepted
A - Entertainment in MAC,https://codeforces.com/contest/1935/problem/A,800,0,0,0,Accepted
B - Rudolf and 121,https://codeforces.com/contest/1941/problem/B,1000,1,1,0,Accepted
A - Farmer John's Challenge,https://codeforces.com/contest/1942/problem/A,800,0,0,0,Accepted
A - Yogurt Sale,https://codeforces.com/contest/1955/problem/A,800,0,0,0,Accepted
A - Setting up Camp,https://codeforces.com/contest/1945/problem/A,800,0,1,0,Accepted
B - Fireworks,https://codeforces.com/contest/1945/problem/B,900,0,0,0,Accepted
C - Long Multiplication,https://codeforces.com/contest/1954/problem/C,1200,0,1,0,Accepted
C - Long Multiplication,https://codeforces.com/contest/1954/problem/C,1200,0,1,0,Runtime error on test8
C - Long Multiplication,https://codeforces.com/contest/1954/problem/C,1200,0,1,0,Wrong answer on test1
A - Dual Trigger,https://codeforces.com/contest/1951/problem/A,900,0,1,0,Accepted
A - Median of an Array,https://codeforces.com/contest/1946/problem/A,800,0,1,0,Accepted
A - Special Characters,https://codeforces.com/contest/1948/problem/A,800,0,0,0,Accepted
A - Special Characters,https://codeforces.com/contest/1948/problem/A,800,0,0,0,Wrong answer on test1
A - Special Characters,https://codeforces.com/contest/1948/problem/A,800,0,0,0,Compilation error
B - Upscaling,https://codeforces.com/contest/1950/problem/B,800,0,0,0,Accepted
A - Stair Peak or Neither?,https://codeforces.com/contest/1950/problem/A,800,0,0,0,Accepted
B - Upscaling,https://codeforces.com/contest/1950/problem/B,800,0,0,0,Wrong answer on test1
A - Stair Peak or Neither?,https://codeforces.com/contest/1950/problem/A,800,0,0,0,Compilation error
C - Clock Conversion,https://codeforces.com/contest/1950/problem/C,800,0,0,0,Accepted
A - Painting the Ribbon,https://codeforces.com/contest/1954/problem/A,900,0,1,0,Accepted
A - Painting the Ribbon,https://codeforces.com/contest/1954/problem/A,900,0,1,0,Wrong answer on test2
A - Painting the Ribbon,https://codeforces.com/contest/1954/problem/A,900,0,1,0,Wrong answer on test2
A - New Year Transportation,https://codeforces.com/contest/500/problem/A,1000,0,0,0,Accepted
A - New Year Transportation,https://codeforces.com/contest/500/problem/A,1000,0,0,0,Wrong answer on test3
A - Dubstep,https://codeforces.com/contest/208/problem/A,900,0,0,0,Accepted
A - Destroying Bridges,https://codeforces.com/contest/1944/problem/A,800,0,1,0,Accepted
E - The Lakes,https://codeforces.com/contest/1829/problem/E,1100,0,0,0,Accepted
A - And Then There Were K,https://codeforces.com/contest/1527/problem/A,800,0,0,0,Accepted
B - Nene and the Card Game,https://codeforces.com/contest/1956/problem/B,800,0,1,0,Accepted
A - Nene's Game,https://codeforces.com/contest/1956/problem/A,800,0,1,1,Accepted
A - Balanced Substring,https://codeforces.com/contest/1569/problem/A,800,0,0,0,Accepted
A - Balanced Substring,https://codeforces.com/contest/1569/problem/A,800,0,0,0,Wrong answer on test1
D - Coprime,https://codeforces.com/contest/1742/problem/D,1100,0,1,0,Accepted
D - Coprime,https://codeforces.com/contest/1742/problem/D,1100,0,1,0,Time limit exceeded on test12
D - Coprime,https://codeforces.com/contest/1742/problem/D,1100,0,1,0,Time limit exceeded on test12
D - Coprime,https://codeforces.com/contest/1742/problem/D,1100,0,1,0,Time limit exceeded on test4
B - Increasing,https://codeforces.com/contest/1742/problem/B,800,0,1,0,Accepted
A - Sum,https://codeforces.com/contest/1742/problem/A,800,0,0,0,Accepted
B - Decode String,https://codeforces.com/contest/1729/problem/B,800,0,1,0,Accepted
